speed,vehicle_count,distance_between_vehicles,weather,accident
25,3,40,0,0
30,4,35,0,0
35,5,30,0,0
40,6,25,0,0
45,7,20,0,1
50,8,18,0,1
55,9,15,0,1
60,10,12,0,1
28,3,38,1,0
33,4,32,1,0
38,5,28,1,1
42,6,22,1,1
48,7,18,1,1
52,8,15,1,1
58,9,12,1,1
62,10,10,1,1
22,2,45,0,0
27,3,42,0,0
31,4,36,0,0
36,5,29,0,0
41,6,24,0,1
46,7,19,0,1
51,8,16,0,1
56,9,13,0,1
20,2,48,1,0
26,3,40,1,0
32,4,33,1,0
37,5,27,1,1
43,6,21,1,1
49,7,17,1,1
54,8,14,1,1
59,9,11,1,1
24,3,41,0,0
29,4,37,0,0
34,5,31,0,0
39,6,26,0,0
44,7,21,0,1
47,8,17,0,1
53,9,14,0,1
57,10,11,0,1
21,2,46,1,0
23,3,43,1,0
35,5,29,1,1
40,6,23,1,1
45,7,19,1,1
50,8,16,1,1
55,9,13,1,1
61,10,9,1,1
19,2,50,0,0
64,10,8,1,1
